athlete_name,year,points_earned,event_name,country,profile_url,stance,first_season,age,height(cm),weight(kg),beach,event_region,event_country
Jordy Smith,2017,4000,Quiksilver Pro Gold Coast,South Africa,https://www.worldsurfleague.com/athletes/564/jordy-smith,Regular,2006 Men's CT,29,190,88,Snapper Rocks,"Gold Coast, Queensland",Australia
Sebastian Zietz,2017,4000,Margaret River Pro,Hawaii,https://www.worldsurfleague.com/athletes/14/sebastian-zietz,Regular,2008 Men's QS,29,183,77,Main Breack,Margaret River,Australia
Kolohe Andino,2017,4000,Quiksilver Pro Gold Coast,United States,https://www.worldsurfleague.com/athletes/1164/kolohe-andino,Regular,2008 Men's QS,23,180,79,Snapper Rocks,"Gold Coast, Queensland",Australia
Caio Ibelli,2016,4000,Oi Rio Pro,Brazil,https://www.worldsurfleague.com/athletes/1291/caio-ibelli,Regular,2008 Men's QS,23,167,72,Itaúna,Saquarena,Brasil
Joel Parkinson,2015,4000,Rip Curl Pro Bells Beach,Australia,https://www.worldsurfleague.com/athletes/556/joel-parkinson,Regular,1999 Men's CT,34,183,82,Bells Beach,Victoria,Australia
Keanu Asing,2015,4000,MEO Pro Portugal,Hawaii,https://www.worldsurfleague.com/athletes/1677/keanu-asing,Regular,2009 Men's QS,22,163,63,Guincho,Cascais,Portugal
Keanu Asing,2015,4000,J-Bay Open,Hawaii,https://www.worldsurfleague.com/athletes/1677/keanu-asing,Regular,2009 Men's QS,22,163,63,Supertubes,Jeffreys Bay,South Africa
Michel Bourez,2015,4000,J-Bay Open,France,https://www.worldsurfleague.com/athletes/593/michel-bourez,Regular,2007 Men's CT,29,175,80,Supertubes,Jeffreys Bay,South Africa
Sebastian Zietz,2016,4000,Quiksilver Pro Gold Coast,Hawaii,https://www.worldsurfleague.com/athletes/14/sebastian-zietz,Regular,2008 Men's QS,28,183,77,Snapper Rocks,"Gold Coast, Queensland",Australia
Conner Coffin,2017,4000,Margaret River Pro,United States,https://www.worldsurfleague.com/athletes/1215/conner-coffin,Regular,2008 Men's QS,24,172,76,Main Breack,Margaret River,Australia
Julian Wilson,2016,4000,Rip Curl Pro Bells Beach,Australia,https://www.worldsurfleague.com/athletes/763/julian-wilson,Regular,2007 Men's CT,27,183,82,Bells Beach,Victoria,Australia
Joel Parkinson,2016,4000,MEO Pro Portugal,Australia,https://www.worldsurfleague.com/athletes/556/joel-parkinson,Regular,1999 Men's CT,35,183,82,Guincho,Cascais,Portugal
Michel Bourez,2016,4000,Fiji Pro,France,https://www.worldsurfleague.com/athletes/593/michel-bourez,Regular,2007 Men's CT,30,175,80,Cloudbreak,Tavarua Island,Fiji
Jeremy Flores,2015,4000,Rip Curl Pro Bells Beach,France,https://www.worldsurfleague.com/athletes/562/jeremy-flores,Regular,2006 Men's CT,27,173,72,Bells Beach,Victoria,Australia
Michel Bourez,2015,4000,MEO Pro Portugal,France,https://www.worldsurfleague.com/athletes/593/michel-bourez,Regular,2007 Men's CT,29,175,80,Guincho,Cascais,Portugal
Adam Melling,2015,4000,Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/260/adam-melling,Regular,2008 Men's QS,30,175,75,Cloudbreak,Tavarua Island,Fiji
John John Florence,2015,4000,Oi Rio Pro,Hawaii,https://www.worldsurfleague.com/athletes/199/john-john-florence,Regular,2008 Men's QS,22,186,79,Itaúna,Saquarena,Brasil
Kolohe Andino,2015,4000,MEO Pro Portugal,United States,https://www.worldsurfleague.com/athletes/1164/kolohe-andino,Regular,2008 Men's QS,21,180,79,Guincho,Cascais,Portugal
Wiggolly Dantas,2015,4000,J-Bay Open,Brazil,https://www.worldsurfleague.com/athletes/425/wiggolly-dantas,Goofy,2008 Men's QS,25,175,72,Supertubes,Jeffreys Bay,South Africa
Nat Young,2015,4000,J-Bay Open,United States,https://www.worldsurfleague.com/athletes/139/nat-young,Goofy,2008 Men's QS,24,180,75,Supertubes,Jeffreys Bay,South Africa
Kelly Slater,2015,4000,Rip Curl Pro Bells Beach,United States,https://www.worldsurfleague.com/athletes/553/kelly-slater,Regular,1989 Men's CT,43,175,73,Bells Beach,Victoria,Australia
Kelly Slater,2015,4000,Fiji Pro,United States,https://www.worldsurfleague.com/athletes/553/kelly-slater,Regular,1989 Men's CT,43,175,73,Cloudbreak,Tavarua Island,Fiji
Caio Ibelli,2016,4000,Rip Curl Pro Bells Beach,Brazil,https://www.worldsurfleague.com/athletes/1291/caio-ibelli,Regular,2008 Men's QS,23,167,72,Bells Beach,Victoria,Australia
Caio Ibelli,2017,4000,Quiksilver Pro France,Brazil,https://www.worldsurfleague.com/athletes/1291/caio-ibelli,Regular,2008 Men's QS,24,167,72,Hossegor,Landas,France
Keanu Asing,2015,4000,Oi Rio Pro,Hawaii,https://www.worldsurfleague.com/athletes/1677/keanu-asing,Regular,2009 Men's QS,22,163,63,Itaúna,Saquarena,Brasil
Adriano de Souza,2017,4000,Quiksilver Pro Gold Coast,Brazil,https://www.worldsurfleague.com/athletes/13/adriano-de-souza,Regular,2006 Men's CT,30,170,66,Snapper Rocks,"Gold Coast, Queensland",Australia
Caio Ibelli,2016,4000,Quiksilver Pro France,Brazil,https://www.worldsurfleague.com/athletes/1291/caio-ibelli,Regular,2008 Men's QS,23,167,72,Hossegor,Landas,France
Jeremy Flores,2017,4000,Margaret River Pro,France,https://www.worldsurfleague.com/athletes/562/jeremy-flores,Regular,2006 Men's CT,29,173,72,Main Breack,Margaret River,Australia
Stuart Kennedy,2016,4000,Quiksilver Pro France,Australia,https://www.worldsurfleague.com/athletes/224/stuart-kennedy,Regular,2008 Men's QS,26,175,73,Hossegor,Landas,France
Conner Coffin,2017,4000,Quiksilver Pro Gold Coast,United States,https://www.worldsurfleague.com/athletes/1215/conner-coffin,Regular,2008 Men's QS,24,172,76,Snapper Rocks,"Gold Coast, Queensland",Australia
Josh Kerr,2017,4000,MEO Pro Portugal,Australia,https://www.worldsurfleague.com/athletes/606/josh-kerr,Regular,2007 Men's CT,33,173,69,Guincho,Cascais,Portugal
Joan Duru,2017,4000,Quiksilver Pro France,France,https://www.worldsurfleague.com/athletes/621/joan-duru,Goofy,2006 Men's CT,28,177,77,Hossegor,Landas,France
Julian Wilson,2017,4000,Oi Rio Pro,Australia,https://www.worldsurfleague.com/athletes/763/julian-wilson,Regular,2007 Men's CT,28,183,82,Itaúna,Saquarena,Brasil
Wiggolly Dantas,2017,4000,Oi Rio Pro,Brazil,https://www.worldsurfleague.com/athletes/425/wiggolly-dantas,Goofy,2008 Men's QS,27,175,72,Itaúna,Saquarena,Brasil
Dane Reynolds,2015,4000,Fiji Pro,United States,https://www.worldsurfleague.com/athletes/580/dane-reynolds,Regular,2003 Men's CT,30,183,79,Cloudbreak,Tavarua Island,Fiji
Jadson Andre,2015,4000,Rip Curl Pro Bells Beach,Brazil,https://www.worldsurfleague.com/athletes/466/jadson-andre,Goofy,2008 Men's QS,25,170,70,Bells Beach,Victoria,Australia
Stuart Kennedy,2017,4000,Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/224/stuart-kennedy,Regular,2008 Men's QS,27,175,73,Cloudbreak,Tavarua Island,Fiji
Kanoa Igarashi,2016,4000,Quiksilver Pro Gold Coast,Japan,https://www.worldsurfleague.com/athletes/3896/kanoa-igarashi,Regular,2012 Men's JR,19,180,78,Snapper Rocks,"Gold Coast, Queensland",Australia
Frederico Morais,2017,4000,MEO Pro Portugal,Portugal,https://www.worldsurfleague.com/athletes/1343/frederico-morais,Regular,2008 Men's QS,25,185,81,Guincho,Cascais,Portugal
Nat Young,2017,4000,Quiksilver Pro France,United States,https://www.worldsurfleague.com/athletes/139/nat-young,Goofy,2008 Men's QS,26,180,75,Hossegor,Landas,France
Sebastian Zietz,2016,4000,Quiksilver Pro France,Hawaii,https://www.worldsurfleague.com/athletes/14/sebastian-zietz,Regular,2008 Men's QS,28,183,77,Hossegor,Landas,France
Matt Banting,2015,4000,Oi Rio Pro,Australia,https://www.worldsurfleague.com/athletes/2757/matt-banting,Regular,2011 Men's JR,21,180,69,Itaúna,Saquarena,Brasil
Davey Cathels,2016,4000,Rip Curl Pro Bells Beach,Australia,https://www.worldsurfleague.com/athletes/2056/davey-cathels,Regular,2010 Men's QS,25,172,67,Bells Beach,Victoria,Australia
Mason Ho,2016,4000,Rip Curl Pro Bells Beach,Hawaii,https://www.worldsurfleague.com/athletes/598/mason-ho,Regular,2008 Men's QS,28,173,68,Bells Beach,Victoria,Australia
Kanoa Igarashi,2017,4000,Oi Rio Pro,Japan,https://www.worldsurfleague.com/athletes/3896/kanoa-igarashi,Regular,2012 Men's JR,20,180,78,Itaúna,Saquarena,Brasil
Mick Fanning,2015,4000,Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/554/mick-fanning,Regular,1999 Men's CT,34,178,79,Cloudbreak,Tavarua Island,Fiji
Jeremy Flores,2015,4000,Quiksilver Pro France,France,https://www.worldsurfleague.com/athletes/562/jeremy-flores,Regular,2006 Men's CT,27,173,72,Hossegor,Landas,France
Leonardo Fioravanti,2017,4000,MEO Pro Portugal,Italy,https://www.worldsurfleague.com/athletes/2656/leonardo-fioravanti,Regular,2011 Men's JR,19,180,80,Guincho,Cascais,Portugal
Jeremy Flores,2016,4000,MEO Pro Portugal,France,https://www.worldsurfleague.com/athletes/562/jeremy-flores,Regular,2006 Men's CT,28,173,72,Guincho,Cascais,Portugal
Matt Wilkinson,2015,4000,Quiksilver Pro France,Australia,https://www.worldsurfleague.com/athletes/226/matt-wilkinson,Goofy,2006 Men's CT,27,180,82,Hossegor,Landas,France
Adriano de Souza,2016,4000,Quiksilver Pro France,Brazil,https://www.worldsurfleague.com/athletes/13/adriano-de-souza,Regular,2006 Men's CT,29,170,66,Hossegor,Landas,France
Gabriel Medina,2017,4000,Oi Rio Pro,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,23,180,77,Itaúna,Saquarena,Brasil
Sebastian Zietz,2017,4000,Fiji Pro,Hawaii,https://www.worldsurfleague.com/athletes/14/sebastian-zietz,Regular,2008 Men's QS,29,183,77,Cloudbreak,Tavarua Island,Fiji
Jadson Andre,2015,4000,Quiksilver Pro France,Brazil,https://www.worldsurfleague.com/athletes/466/jadson-andre,Goofy,2008 Men's QS,25,170,70,Hossegor,Landas,France
Kolohe Andino,2015,4000,Quiksilver Pro France,United States,https://www.worldsurfleague.com/athletes/1164/kolohe-andino,Regular,2008 Men's QS,21,180,79,Hossegor,Landas,France
Italo Ferreira,2017,4000,Fiji Pro,Brazil,https://www.worldsurfleague.com/athletes/1737/italo-ferreira,Goofy,2009 Men's QS,23,168,68,Cloudbreak,Tavarua Island,Fiji
Ian Gouveia,2017,4000,Fiji Pro,Brazil,https://www.worldsurfleague.com/athletes/1089/ian-gouveia,Goofy,2008 Men's QS,24,167,69,Cloudbreak,Tavarua Island,Fiji
Dusty Payne,2016,4000,Fiji Pro,Hawaii,https://www.worldsurfleague.com/athletes/8/dusty-payne,Regular,2008 Men's QS,27,178,74,Cloudbreak,Tavarua Island,Fiji
Michel Bourez,2016,4000,MEO Pro Portugal,France,https://www.worldsurfleague.com/athletes/593/michel-bourez,Regular,2007 Men's CT,30,175,80,Guincho,Cascais,Portugal
Matt Wilkinson,2016,4000,Margaret River Pro,Australia,https://www.worldsurfleague.com/athletes/226/matt-wilkinson,Goofy,2006 Men's CT,28,180,82,Main Breack,Margaret River,Australia
Sebastian Zietz,2017,4000,Hurley Pro at Trestles,Hawaii,https://www.worldsurfleague.com/athletes/14/sebastian-zietz,Regular,2008 Men's QS,29,183,77,Trestles,"San Clemente, California",USA
Kelly Slater,2015,4000,Hurley Pro at Trestles,United States,https://www.worldsurfleague.com/athletes/553/kelly-slater,Regular,1989 Men's CT,43,175,73,Trestles,"San Clemente, California",USA
Joel Parkinson,2017,4000,Rip Curl Pro Bells Beach,Australia,https://www.worldsurfleague.com/athletes/556/joel-parkinson,Regular,1999 Men's CT,36,183,82,Bells Beach,Victoria,Australia
Sebastian Zietz,2017,4000,Rip Curl Pro Bells Beach,Hawaii,https://www.worldsurfleague.com/athletes/14/sebastian-zietz,Regular,2008 Men's QS,29,183,77,Bells Beach,Victoria,Australia
Bede Durbidge,2017,4000,Hurley Pro at Trestles,Australia,https://www.worldsurfleague.com/athletes/558/bede-durbidge,Regular,2002 Men's CT,34,185,82,Trestles,"San Clemente, California",USA
Jadson Andre,2017,4000,Hurley Pro at Trestles,Brazil,https://www.worldsurfleague.com/athletes/466/jadson-andre,Goofy,2008 Men's QS,27,170,70,Trestles,"San Clemente, California",USA
Italo Ferreira,2015,4000,Hurley Pro at Trestles,Brazil,https://www.worldsurfleague.com/athletes/1737/italo-ferreira,Goofy,2009 Men's QS,21,168,68,Trestles,"San Clemente, California",USA
Keanu Asing,2016,4000,Tahiti Pro Teahupo'o,Hawaii,https://www.worldsurfleague.com/athletes/1677/keanu-asing,Regular,2009 Men's QS,23,163,63,Teahupo'o,Tahiti,French Polynesia
Jadson Andre,2016,4000,Tahiti Pro Teahupo'o,Brazil,https://www.worldsurfleague.com/athletes/466/jadson-andre,Goofy,2008 Men's QS,26,170,70,Teahupo'o,Tahiti,French Polynesia
Wiggolly Dantas,2017,4000,Rip Curl Pro Bells Beach,Brazil,https://www.worldsurfleague.com/athletes/425/wiggolly-dantas,Goofy,2008 Men's QS,27,175,72,Bells Beach,Victoria,Australia
Owen Wright,2015,4000,Hurley Pro at Trestles,Australia,https://www.worldsurfleague.com/athletes/297/owen-wright,Goofy,2006 Men's CT,25,190,81,Trestles,"San Clemente, California",USA
Sebastian Zietz,2015,4000,Margaret River Pro,Hawaii,https://www.worldsurfleague.com/athletes/14/sebastian-zietz,Regular,2008 Men's QS,27,183,77,Main Breack,Margaret River,Australia
Leonardo Fioravanti,2017,4000,Billabong Pipe Masters,Italy,https://www.worldsurfleague.com/athletes/2656/leonardo-fioravanti,Regular,2011 Men's JR,19,180,80,Pipeline,Oahu,"Hawai, USA"
Joel Parkinson,2016,4000,Billabong Pipe Masters,Australia,https://www.worldsurfleague.com/athletes/556/joel-parkinson,Regular,1999 Men's CT,35,183,82,Pipeline,Oahu,"Hawai, USA"
Matt Wilkinson,2017,4000,Tahiti Pro Teahupo'o,Australia,https://www.worldsurfleague.com/athletes/226/matt-wilkinson,Goofy,2006 Men's CT,29,180,82,Teahupo'o,Tahiti,French Polynesia
Joan Duru,2017,4000,J-Bay Open,France,https://www.worldsurfleague.com/athletes/621/joan-duru,Goofy,2006 Men's CT,28,177,77,Supertubes,Jeffreys Bay,South Africa
Conner Coffin,2017,4000,J-Bay Open,United States,https://www.worldsurfleague.com/athletes/1215/conner-coffin,Regular,2008 Men's QS,24,172,76,Supertubes,Jeffreys Bay,South Africa
Adrian Buchan,2017,4000,Tahiti Pro Teahupo'o,Australia,https://www.worldsurfleague.com/athletes/575/adrian-buchan,Goofy,2003 Men's CT,35,175,75,Teahupo'o,Tahiti,French Polynesia
Owen Wright,2017,4000,Rip Curl Pro Bells Beach,Australia,https://www.worldsurfleague.com/athletes/297/owen-wright,Goofy,2006 Men's CT,27,190,81,Bells Beach,Victoria,Australia
Nat Young,2016,4000,Billabong Pipe Masters,United States,https://www.worldsurfleague.com/athletes/139/nat-young,Goofy,2008 Men's QS,25,180,75,Pipeline,Oahu,"Hawai, USA"
Conner Coffin,2017,4000,Tahiti Pro Teahupo'o,United States,https://www.worldsurfleague.com/athletes/1215/conner-coffin,Regular,2008 Men's QS,24,172,76,Teahupo'o,Tahiti,French Polynesia
Julian Wilson,2017,4000,Hurley Pro at Trestles,Australia,https://www.worldsurfleague.com/athletes/763/julian-wilson,Regular,2007 Men's CT,28,183,82,Trestles,"San Clemente, California",USA
Gabriel Medina,2016,4000,Margaret River Pro,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,22,180,77,Main Breack,Margaret River,Australia
Caio Ibelli,2017,4000,Billabong Pipe Masters,Brazil,https://www.worldsurfleague.com/athletes/1291/caio-ibelli,Regular,2008 Men's QS,24,167,72,Pipeline,Oahu,"Hawai, USA"
Jordy Smith,2016,4000,Margaret River Pro,South Africa,https://www.worldsurfleague.com/athletes/564/jordy-smith,Regular,2006 Men's CT,28,190,88,Main Breack,Margaret River,Australia
Miguel Pupo,2015,4000,Hurley Pro at Trestles,Brazil,https://www.worldsurfleague.com/athletes/688/miguel-pupo,Goofy,2008 Men's QS,23,175,73,Trestles,"San Clemente, California",USA
Jordy Smith,2016,4000,Tahiti Pro Teahupo'o,South Africa,https://www.worldsurfleague.com/athletes/564/jordy-smith,Regular,2006 Men's CT,28,190,88,Teahupo'o,Tahiti,French Polynesia
Adrian Buchan,2016,4000,Margaret River Pro,Australia,https://www.worldsurfleague.com/athletes/575/adrian-buchan,Goofy,2003 Men's CT,34,175,75,Main Breack,Margaret River,Australia
Joel Parkinson,2016,4000,Tahiti Pro Teahupo'o,Australia,https://www.worldsurfleague.com/athletes/556/joel-parkinson,Regular,1999 Men's CT,35,183,82,Teahupo'o,Tahiti,French Polynesia
Conner Coffin,2017,4000,Billabong Pipe Masters,United States,https://www.worldsurfleague.com/athletes/1215/conner-coffin,Regular,2008 Men's QS,24,172,76,Pipeline,Oahu,"Hawai, USA"
Bruno Santos,2015,4000,Tahiti Pro Teahupo'o,Brazil,https://www.worldsurfleague.com/athletes/473/bruno-santos,Goofy,2000 Men's CT,32,165,67,Teahupo'o,Tahiti,French Polynesia
Kolohe Andino,2016,4000,Hurley Pro at Trestles,United States,https://www.worldsurfleague.com/athletes/1164/kolohe-andino,Regular,2008 Men's QS,22,180,79,Trestles,"San Clemente, California",USA
Michel Bourez,2016,4000,Hurley Pro at Trestles,France,https://www.worldsurfleague.com/athletes/593/michel-bourez,Regular,2007 Men's CT,30,175,80,Trestles,"San Clemente, California",USA
Josh Kerr,2016,4000,Hurley Pro at Trestles,Australia,https://www.worldsurfleague.com/athletes/606/josh-kerr,Regular,2007 Men's CT,32,173,69,Trestles,"San Clemente, California",USA
Italo Ferreira,2015,4000,Quiksilver Pro Gold Coast,Brazil,https://www.worldsurfleague.com/athletes/1737/italo-ferreira,Goofy,2009 Men's QS,21,168,68,Snapper Rocks,"Gold Coast, Queensland",Australia
Aritz Aranburu,2015,4000,Tahiti Pro Teahupo'o,Spain,https://www.worldsurfleague.com/athletes/588/aritz-aranburu,Regular,2007 Men's CT,30,172,70,Teahupo'o,Tahiti,French Polynesia
Matt Wilkinson,2015,4000,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/226/matt-wilkinson,Goofy,2006 Men's CT,27,180,82,Snapper Rocks,"Gold Coast, Queensland",Australia
Jadson Andre,2016,4000,Hurley Pro at Trestles,Brazil,https://www.worldsurfleague.com/athletes/466/jadson-andre,Goofy,2008 Men's QS,26,170,70,Trestles,"San Clemente, California",USA
Ryan Callinan,2016,4000,Billabong Pipe Masters,Australia,https://www.worldsurfleague.com/athletes/1760/ryan-callinan,Goofy,2009 Men's QS,24,183,80,Pipeline,Oahu,"Hawai, USA"
Michel Bourez,2017,4000,J-Bay Open,France,https://www.worldsurfleague.com/athletes/593/michel-bourez,Regular,2007 Men's CT,31,175,80,Supertubes,Jeffreys Bay,South Africa
Filipe Toledo,2016,4000,Billabong Pipe Masters,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,21,175,70,Pipeline,Oahu,"Hawai, USA"
Jordy Smith,2015,4000,Quiksilver Pro Gold Coast,South Africa,https://www.worldsurfleague.com/athletes/564/jordy-smith,Regular,2006 Men's CT,27,190,88,Snapper Rocks,"Gold Coast, Queensland",Australia
Joel Parkinson,2015,4000,Billabong Pipe Masters,Australia,https://www.worldsurfleague.com/athletes/556/joel-parkinson,Regular,1999 Men's CT,34,183,82,Pipeline,Oahu,"Hawai, USA"
Wiggolly Dantas,2015,4000,Tahiti Pro Teahupo'o,Brazil,https://www.worldsurfleague.com/athletes/425/wiggolly-dantas,Goofy,2008 Men's QS,25,175,72,Teahupo'o,Tahiti,French Polynesia
Josh Kerr,2015,4000,Margaret River Pro,Australia,https://www.worldsurfleague.com/athletes/606/josh-kerr,Regular,2007 Men's CT,31,173,69,Main Breack,Margaret River,Australia
Alejo Muniz,2016,4000,J-Bay Open,Brazil,https://www.worldsurfleague.com/athletes/708/alejo-muniz,Regular,2008 Men's QS,26,175,72,Supertubes,Jeffreys Bay,South Africa
Keanu Asing,2015,4000,Billabong Pipe Masters,Hawaii,https://www.worldsurfleague.com/athletes/1677/keanu-asing,Regular,2009 Men's QS,22,163,63,Pipeline,Oahu,"Hawai, USA"
Jeremy Flores,2015,4000,Margaret River Pro,France,https://www.worldsurfleague.com/athletes/562/jeremy-flores,Regular,2006 Men's CT,27,173,72,Main Breack,Margaret River,Australia
Wiggolly Dantas,2016,4000,J-Bay Open,Brazil,https://www.worldsurfleague.com/athletes/425/wiggolly-dantas,Goofy,2008 Men's QS,26,175,72,Supertubes,Jeffreys Bay,South Africa
John John Florence,2015,4000,Billabong Pipe Masters,Hawaii,https://www.worldsurfleague.com/athletes/199/john-john-florence,Regular,2008 Men's QS,22,186,79,Pipeline,Oahu,"Hawai, USA"
Michel Bourez,2016,4000,J-Bay Open,France,https://www.worldsurfleague.com/athletes/593/michel-bourez,Regular,2007 Men's CT,30,175,80,Supertubes,Jeffreys Bay,South Africa
Adriano de Souza,2016,4000,J-Bay Open,Brazil,https://www.worldsurfleague.com/athletes/13/adriano-de-souza,Regular,2006 Men's CT,29,170,66,Supertubes,Jeffreys Bay,South Africa
Owen Wright,2017,4000,J-Bay Open,Australia,https://www.worldsurfleague.com/athletes/297/owen-wright,Goofy,2006 Men's CT,27,190,81,Supertubes,Jeffreys Bay,South Africa
Filipe Toledo,2015,4000,Tahiti Pro Teahupo'o,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,20,175,70,Teahupo'o,Tahiti,French Polynesia
Kelly Slater,2017,4000,Billabong Pipe Masters,United States,https://www.worldsurfleague.com/athletes/553/kelly-slater,Regular,1989 Men's CT,45,175,73,Pipeline,Oahu,"Hawai, USA"
Owen Wright,2015,4000,Margaret River Pro,Australia,https://www.worldsurfleague.com/athletes/297/owen-wright,Goofy,2006 Men's CT,25,190,81,Main Breack,Margaret River,Australia
Jeremy Flores,2015,4000,Billabong Pipe Masters,France,https://www.worldsurfleague.com/athletes/562/jeremy-flores,Regular,2006 Men's CT,27,173,72,Pipeline,Oahu,"Hawai, USA"
Glenn Hall,2015,4000,Quiksilver Pro Gold Coast,Ireland,https://www.worldsurfleague.com/athletes/215/glenn-hall,Goofy,2008 Men's QS,33,165,63,Snapper Rocks,"Gold Coast, Queensland",Australia
Mikey Wright,2018,3700,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/3830/mikey-wright,Regular,2012 Men's JR,22,183,80,Snapper Rocks,"Gold Coast, Queensland",Australia
Michael Rodrigues,2018,3700,Margaret River Pro,Brazil,https://www.worldsurfleague.com/athletes/2251/michael-rodrigues,Regular,2010 Men's QS,23,175,75,Main Breack,Margaret River,Australia
Patrick Gudauskas,2018,3700,Quiksilver Pro France,United States,https://www.worldsurfleague.com/athletes/4/patrick-gudauskas,Regular,2008 Men's QS,32,183,72,Hossegor,Landas,France
Ezekiel Lau,2018,3700,MEO Pro Portugal,Hawaii,https://www.worldsurfleague.com/athletes/1957/ezekiel-lau,Regular,2008 Men's QS,24,186,92,Guincho,Cascais,Portugal
Matt Wilkinson,2018,3700,Rip Curl Pro Bells Beach,Australia,https://www.worldsurfleague.com/athletes/226/matt-wilkinson,Goofy,2006 Men's CT,30,180,82,Bells Beach,Victoria,Australia
Owen Wright,2018,3700,Margaret River Pro,Australia,https://www.worldsurfleague.com/athletes/297/owen-wright,Goofy,2006 Men's CT,28,190,81,Main Breack,Margaret River,Australia
Mick Fanning,2018,3700,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/554/mick-fanning,Regular,1999 Men's CT,37,178,79,Snapper Rocks,"Gold Coast, Queensland",Australia
Matt Wilkinson,2018,3700,Quiksilver Pro France,Australia,https://www.worldsurfleague.com/athletes/226/matt-wilkinson,Goofy,2006 Men's CT,30,180,82,Hossegor,Landas,France
Jesse Mendes,2018,3700,Billabong Pipe Masters,Italy,https://www.worldsurfleague.com/athletes/700/jesse-mendes,Goofy,2008 Men's QS,25,186,79,Pipeline,Oahu,"Hawai, USA"
Willian Cardoso,2018,3700,Quiksilver Pro France,Brazil,https://www.worldsurfleague.com/athletes/622/willian-cardoso,Regular,2008 Men's QS,32,179,95,Hossegor,Landas,France
Ian Gouveia,2018,3700,Oi Rio Pro,Brazil,https://www.worldsurfleague.com/athletes/1089/ian-gouveia,Goofy,2008 Men's QS,25,167,69,Itaúna,Saquarena,Brasil
John John Florence,2018,3700,Oi Rio Pro,Hawaii,https://www.worldsurfleague.com/athletes/199/john-john-florence,Regular,2008 Men's QS,25,186,79,Itaúna,Saquarena,Brasil
Yago Dora,2018,3700,Tahiti Pro Teahupo'o,Brazil,https://www.worldsurfleague.com/athletes/3994/yago-dora,Goofy,2012 Men's JR,22,181,77,Teahupo'o,Tahiti,French Polynesia
Michel Bourez,2018,3700,Billabong Pipe Masters,France,https://www.worldsurfleague.com/athletes/593/michel-bourez,Regular,2007 Men's CT,32,175,80,Pipeline,Oahu,"Hawai, USA"
Ryan Callinan,2018,3700,Billabong Pipe Masters,Australia,https://www.worldsurfleague.com/athletes/1760/ryan-callinan,Goofy,2009 Men's QS,26,183,80,Pipeline,Oahu,"Hawai, USA"
Frederico Morais,2018,3700,MEO Pro Portugal,Portugal,https://www.worldsurfleague.com/athletes/1343/frederico-morais,Regular,2008 Men's QS,26,185,81,Guincho,Cascais,Portugal
Jeremy Flores,2018,3700,Rip Curl Pro Bells Beach,France,https://www.worldsurfleague.com/athletes/562/jeremy-flores,Regular,2006 Men's CT,30,173,72,Bells Beach,Victoria,Australia
Kanoa Igarashi,2018,3700,Quiksilver Pro Gold Coast,Japan,https://www.worldsurfleague.com/athletes/3896/kanoa-igarashi,Regular,2012 Men's JR,21,180,78,Snapper Rocks,"Gold Coast, Queensland",Australia
Jesse Mendes,2018,3700,Corona Bali Protected,Italy,https://www.worldsurfleague.com/athletes/700/jesse-mendes,Goofy,2008 Men's QS,25,186,79,Keramas,Bali,Indonesia
Joan Duru,2018,3700,Margaret River Pro,France,https://www.worldsurfleague.com/athletes/621/joan-duru,Goofy,2006 Men's CT,29,177,77,Main Breack,Margaret River,Australia
Wade Carmichael,2018,3700,MEO Pro Portugal,Australia,https://www.worldsurfleague.com/athletes/2817/wade-carmichael,Regular,2011 Men's JR,25,180,86,Guincho,Cascais,Portugal
Adriano de Souza,2018,3700,Quiksilver Pro Gold Coast,Brazil,https://www.worldsurfleague.com/athletes/13/adriano-de-souza,Regular,2006 Men's CT,31,170,66,Snapper Rocks,"Gold Coast, Queensland",Australia
Yago Dora,2018,3700,Surf Ranch Pro,Brazil,https://www.worldsurfleague.com/athletes/3994/yago-dora,Goofy,2012 Men's JR,22,181,77,Surf Ranch,"Lemoore, California",USA
Kolohe Andino,2018,3700,Surf Ranch Pro,United States,https://www.worldsurfleague.com/athletes/1164/kolohe-andino,Regular,2008 Men's QS,24,180,79,Surf Ranch,"Lemoore, California",USA
Kanoa Igarashi,2018,3700,Oi Rio Pro,Japan,https://www.worldsurfleague.com/athletes/3896/kanoa-igarashi,Regular,2012 Men's JR,21,180,78,Itaúna,Saquarena,Brasil
Conner Coffin,2018,3700,Surf Ranch Pro,United States,https://www.worldsurfleague.com/athletes/1215/conner-coffin,Regular,2008 Men's QS,25,172,76,Surf Ranch,"Lemoore, California",USA
